Day,Bahir_Dar sim,Bahir_Dar data,Bahir_Dar error,Gondar sim,Gondar data,Gondar error,Hamdayet sim,Hamdayet data,Hamdayet error,Lugdi sim,Lugdi data,Lugdi error,Abderafi sim,Abderafi data,Abderafi error,Wad_Al_Mahi sim,Wad_Al_Mahi data,Wad_Al_Mahi error,Sehra sim,Sehra data,Sehra error,Tsorona sim,Tsorona data,Tsorona error,Galafi sim,Galafi data,Galafi error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0
1,0,0,0.0,0,0,0.0,0,13,1.0,0,7,1.0,0,0,0.0,0,0,0.0,3,0,0.0,0,0,0.0,0,0,0.0,1.15,20,17,20,3,0
2,0,0,0.0,0,0,0.0,0,26,1.0,0,14,1.0,0,0,0.0,0,0,0.0,6,0,0.0,0,0,0.0,0,0,0.0,1.15,40,30,40,6,0
3,0,0,0.0,0,0,0.0,0,39,1.0,0,21,1.0,0,0,0.0,0,1,1.0,7,0,0.0,0,0,0.0,0,0,0.0,1.1147540983606556,61,50,61,7,0
4,0,0,0.0,0,0,0.0,0,52,1.0,0,28,1.0,0,0,0.0,0,1,1.0,8,0,0.0,0,0,0.0,0,0,0.0,1.0987654320987654,81,65,81,8,0
5,0,0,0.0,0,0,0.0,1,65,0.9846,0,36,1.0,0,0,0.0,0,2,1.0,9,0,0.0,0,0,0.0,0,0,0.0,1.0776699029126213,103,74,103,10,0
6,0,0,0.0,1,0,0.0,2,78,0.9744,0,43,1.0,0,1,1.0,0,2,1.0,10,0,0.0,0,0,0.0,0,0,0.0,1.0725806451612903,124,89,124,13,0
7,0,0,0.0,3,0,0.0,3,91,0.967,2,50,0.96,0,1,1.0,0,3,1.0,10,0,0.0,0,0,0.0,0,0,0.0,1.0551724137931036,145,107,145,18,0
8,0,0,0.0,7,0,0.0,3,104,0.9712,5,57,0.9123,0,1,1.0,0,3,1.0,10,0,0.0,0,0,0.0,0,0,0.0,1.0545454545454545,165,134,165,25,0
9,0,0,0.0,8,0,0.0,4,117,0.9658,7,64,0.8906,0,1,1.0,0,4,1.0,10,0,0.0,0,0,0.0,0,0,0.0,1.0376344086021505,186,153,186,29,0
10,0,0,0.0,12,0,0.0,4,130,0.9692,7,72,0.9028,0,1,1.0,0,4,1.0,10,0,0.0,0,0,0.0,0,0,0.0,1.0531400966183575,207,172,207,33,0
