Day,Date,Bahir_Dar sim,Bahir_Dar data,Bahir_Dar error,Gondar sim,Gondar data,Gondar error,Hamdayet sim,Hamdayet data,Hamdayet error,Lugdi sim,Lugdi data,Lugdi error,Abderafi sim,Abderafi data,Abderafi error,Wad_Al_Mahi sim,Wad_Al_Mahi data,Wad_Al_Mahi error,Sehra sim,Sehra data,Sehra error,Tsorona sim,Tsorona data,Tsorona error,Galafi sim,Galafi data,Galafi error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
0,2020-11-04,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0
1,2020-11-05,0,0,0.0,0,0,0.0,0,13,1.0,0,7,1.0,0,0,0.0,0,0,0.0,6,0,0.0,0,0,0.0,0,0,0.0,1.3,20,16,20,6,0
2,2020-11-06,0,0,0.0,0,0,0.0,0,26,1.0,0,14,1.0,0,0,0.0,0,0,0.0,10,0,0.0,0,0,0.0,0,0,0.0,1.25,40,31,40,10,0
3,2020-11-07,0,0,0.0,0,0,0.0,0,39,1.0,0,21,1.0,0,0,0.0,0,1,1.0,11,0,0.0,0,0,0.0,0,0,0.0,1.180327868852459,61,52,61,11,0
4,2020-11-08,0,0,0.0,0,0,0.0,0,52,1.0,0,28,1.0,0,0,0.0,0,1,1.0,11,0,0.0,0,0,0.0,0,0,0.0,1.1358024691358024,81,67,81,11,0
5,2020-11-09,0,0,0.0,0,0,0.0,0,65,1.0,0,36,1.0,0,0,0.0,0,2,1.0,11,0,0.0,0,0,0.0,0,0,0.0,1.1067961165048543,103,77,103,11,0
6,2020-11-10,0,0,0.0,0,0,0.0,0,78,1.0,0,43,1.0,0,1,1.0,0,2,1.0,11,0,0.0,0,0,0.0,0,0,0.0,1.0887096774193548,124,93,124,11,0
7,2020-11-11,0,0,0.0,0,0,0.0,2,91,0.978,2,50,0.96,0,1,1.0,0,3,1.0,12,0,0.0,0,0,0.0,0,0,0.0,1.0551724137931036,145,107,145,16,0
8,2020-11-12,0,0,0.0,0,0,0.0,2,104,0.9808,3,57,0.9474,0,1,1.0,0,3,1.0,13,0,0.0,0,0,0.0,0,0,0.0,1.0484848484848486,165,130,165,18,0
9,2020-11-13,0,0,0.0,1,0,0.0,2,117,0.9829,4,64,0.9375,0,1,1.0,0,4,1.0,15,0,0.0,0,0,0.0,0,0,0.0,1.053763440860215,186,146,186,22,0
