Month,Year,sim,data,error,camp,Longitude,Latitude
11,2020,505,13,303.0,Sehra,39.3904,14.5465
12,2020,823,31,792.0,Sehra,39.3904,14.5465
1,2021,899,31,868.0,Sehra,39.3904,14.5465
2,2021,863,28,835.0,Sehra,39.3904,14.5465
3,2021,926,29,897.0,Sehra,39.3904,14.5465
11,2020,0,13,13.0,Galafi,41.8375,11.7169
12,2020,19,31,12.0,Galafi,41.8375,11.7169
1,2021,36,31,5.0,Galafi,41.8375,11.7169
2,2021,105,28,77.0,Galafi,41.8375,11.7169
3,2021,162,29,133.0,Galafi,41.8375,11.7169
11,2020,10,13,3.0,Tsorona,39.1972,14.6231
12,2020,67,31,36.0,Tsorona,39.1972,14.6231
1,2021,85,31,54.0,Tsorona,39.1972,14.6231
2,2021,92,28,64.0,Tsorona,39.1972,14.6231
3,2021,153,29,124.0,Tsorona,39.1972,14.6231
11,2020,0,118,24.0,Wad_Al_Mahi,34.616667,11.416667
12,2020,0,217,31.0,Wad_Al_Mahi,34.616667,11.416667
1,2021,72,217,20.7148,Wad_Al_Mahi,34.616667,11.416667
2,2021,133,171,6.1197,Wad_Al_Mahi,34.616667,11.416667
3,2021,187,174,4.1674999999999995,Wad_Al_Mahi,34.616667,11.416667
11,2020,208,4573,25.0599,Hamdayet,36.53171,14.26856
12,2020,460,11062,29.7085,Hamdayet,36.53171,14.26856
1,2021,465,12780,29.8709,Hamdayet,36.53171,14.26856
2,2021,455,12320,26.9661,Hamdayet,36.53171,14.26856
3,2021,518,13119,27.8551,Hamdayet,36.53171,14.26856
11,2020,151,2122,24.5704,Lugdi,36.4792871,14.15507
12,2020,334,4121,28.4865,Lugdi,36.4792871,14.15507
1,2021,390,4551,28.3444,Lugdi,36.4792871,14.15507
2,2021,354,4332,25.7117,Lugdi,36.4792871,14.15507
3,2021,370,4495,26.6124,Lugdi,36.4792871,14.15507
11,2020,463,13,371.0,Gondar,37.4667,12.6
12,2020,1238,31,1207.0,Gondar,37.4667,12.6
1,2021,1426,31,1395.0,Gondar,37.4667,12.6
2,2021,1394,28,1366.0,Gondar,37.4667,12.6
3,2021,1486,29,1457.0,Gondar,37.4667,12.6
11,2020,2,13,11.0,Bahir_Dar,37.3833,11.6
12,2020,100,31,69.0,Bahir_Dar,37.3833,11.6
1,2021,431,31,400.0,Bahir_Dar,37.3833,11.6
2,2021,479,28,451.0,Bahir_Dar,37.3833,11.6
3,2021,500,29,471.0,Bahir_Dar,37.3833,11.6
11,2020,20,72,17.3429,Abderafi,36.4334,13.7377
12,2020,238,285,5.5971,Abderafi,36.4334,13.7377
1,2021,333,310,2.3000000000000003,Abderafi,36.4334,13.7377
2,2021,399,280,11.9,Abderafi,36.4334,13.7377
3,2021,511,290,22.1,Abderafi,36.4334,13.7377
