total refugees (simulation),Total error,refugees in camps (UNHCR),raw UNHCR refugee count,refugees in camps (simulation),Date,Day,refugee_debt
0,0.0,0,0,0,2020-11-04,0,0
16,1.2,20,20,4,2020-11-05,1,0
32,1.2,40,40,8,2020-11-06,2,0
52,1.2295081967213115,61,61,14,2020-11-07,3,0
66,1.1851851851851851,81,81,15,2020-11-08,4,0
76,1.145631067961165,103,103,15,2020-11-09,5,0
91,1.1370967741935485,124,124,17,2020-11-10,6,0
109,1.1310344827586207,145,145,23,2020-11-11,7,0
130,1.1090909090909091,165,165,30,2020-11-12,8,0
147,1.10752688172043,186,186,34,2020-11-13,9,0
164,1.0917874396135263,207,207,37,2020-11-14,10,0
183,1.0829694323144106,229,229,39,2020-11-15,11,0
201,1.072,250,250,44,2020-11-16,12,0
226,1.066420664206642,271,271,52,2020-11-17,13,0
249,1.0439189189189189,296,296,55,2020-11-18,14,0
265,1.0507936507936508,315,315,58,2020-11-19,15,0
278,1.0538922155688624,334,334,64,2020-11-20,16,0
294,1.0536723163841808,354,354,69,2020-11-21,17,0
321,1.0536193029490617,373,373,72,2020-11-22,18,0
347,1.0612244897959184,392,392,78,2020-11-23,19,0
370,1.072992700729927,411,411,86,2020-11-24,20,0
386,1.072289156626506,415,415,90,2020-11-25,21,0
395,1.0712589073634204,421,421,90,2020-11-26,22,0
402,1.0704225352112675,426,426,90,2020-11-27,23,0
409,1.0689655172413792,435,435,90,2020-11-28,24,0
420,1.0675675675675675,444,444,92,2020-11-29,25,0
415,1.0685840707964602,452,452,93,2020-11-30,26,0
420,1.0672451193058567,461,461,93,2020-12-01,27,0
431,1.0672451193058567,461,461,93,2020-12-02,28,0
435,1.0650759219088937,461,461,94,2020-12-03,29,0
442,1.0620985010706638,467,467,95,2020-12-04,30,0
448,1.0625,480,480,96,2020-12-05,31,0
457,1.062753036437247,494,494,99,2020-12-06,32,0
459,1.0606060606060606,495,495,100,2020-12-07,33,0
466,1.0583501006036218,497,497,101,2020-12-08,34,0
475,1.0581162324649298,499,499,101,2020-12-09,35,0
480,1.059880239520958,501,501,102,2020-12-10,36,0
485,1.0615079365079363,504,504,103,2020-12-11,37,0
485,1.0594059405940597,505,505,102,2020-12-12,38,0
