Day,Date,Tierkidi sim,Tierkidi data,Tierkidi error,Pugnido sim,Pugnido data,Pugnido error,Jewi sim,Jewi data,Jewi error,Kule sim,Kule data,Kule error,Kakuma sim,Kakuma data,Kakuma error,Khartoum sim,Khartoum data,Khartoum error,West_Kordofan sim,West_Kordofan data,West_Kordofan error,Adjumani sim,Adjumani data,Adjumani error,Rhino sim,Rhino data,Rhino error,Kiryandongo sim,Kiryandongo data,Kiryandongo error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
0,2013-12-15,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0
1,2013-12-16,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,109,1.0,0,0,0.0,0,46,1.0,0,694,1.0,0,77,1.0,0,3,1.0,1.0,929,0,929,0,0
2,2013-12-17,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,162,1.0,0,0,0.0,0,93,1.0,0,1388,1.0,0,108,1.0,0,3,1.0,1.0,1754,0,1754,0,0
3,2013-12-18,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,179,1.0,0,1,1.0,0,140,1.0,0,2083,1.0,0,118,1.0,0,36,1.0,1.0,2557,0,2557,0,0
4,2013-12-19,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,190,1.0,0,1,1.0,0,187,1.0,0,2777,1.0,0,171,1.0,0,67,1.0,1.0,3393,0,3393,0,0
5,2013-12-20,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,239,1.0,0,2,1.0,0,234,1.0,0,3472,1.0,0,178,1.0,0,84,1.0,1.0,4209,0,4209,0,0
6,2013-12-21,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,252,1.0,0,2,1.0,0,281,1.0,0,4166,1.0,0,268,1.0,0,124,1.0,1.0,5093,0,5093,0,0
7,2013-12-22,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,301,1.0,0,3,1.0,0,327,1.0,0,4860,1.0,0,291,1.0,0,142,1.0,1.0,5924,0,5924,0,0
8,2013-12-23,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,350,1.0,0,3,1.0,0,374,1.0,0,5555,1.0,0,418,1.0,0,241,1.0,1.0,6941,0,6941,0,0
9,2013-12-24,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,358,1.0,0,4,1.0,0,421,1.0,0,6249,1.0,0,733,1.0,0,356,1.0,1.0,8121,0,8121,0,0
10,2013-12-25,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,461,1.0,0,4,1.0,0,468,1.0,0,6944,1.0,0,869,1.0,0,441,1.0,1.0,9187,0,9187,0,0
11,2013-12-26,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,663,1.0,0,5,1.0,0,515,1.0,0,7638,1.0,0,966,1.0,0,495,1.0,1.0,10282,190,10282,0,0
12,2013-12-27,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,716,1.0,0,5,1.0,0,562,1.0,10,8332,0.9988,40,1029,0.9611,0,560,1.0,0.9955373081042485,11204,602,11204,50,0
13,2013-12-28,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,734,1.0,0,6,1.0,0,608,1.0,27,9027,0.997,85,1191,0.9286,0,643,1.0,0.9908264395118356,12209,1002,12209,112,0
14,2013-12-29,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,894,1.0,0,6,1.0,0,655,1.0,57,9721,0.9941,136,1471,0.9075,1,692,0.9986,0.9855644021132524,13439,1392,13439,194,0
15,2013-12-30,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1056,1.0,0,7,1.0,0,702,1.0,148,10416,0.9858,181,1737,0.8958,20,710,0.9718,0.9761416461580532,14628,2107,14628,349,0
16,2013-12-31,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,7,1323,0.9947,0,7,1.0,0,749,1.0,243,11110,0.9781,241,2637,0.9086,47,726,0.9353,0.9674963750604156,16552,2852,16552,538,0
