Day,Adjumani sim,Adjumani data,Adjumani error,East_Darfur sim,East_Darfur data,East_Darfur error,Haut-Uele sim,Haut-Uele data,Haut-Uele error,Ituri sim,Ituri data,Ituri error,Kakuma sim,Kakuma data,Kakuma error,Kiryandongo sim,Kiryandongo data,Kiryandongo error,Meri sim,Meri data,Meri error,North_Darfur sim,North_Darfur data,North_Darfur error,Rhino sim,Rhino data,Rhino error,South_Darfur sim,South_Darfur data,South_Darfur error,South_Kordofan sim,South_Kordofan data,South_Kordofan error,West_Kordofan sim,West_Kordofan data,West_Kordofan error,White_Nile sim,White_Nile data,White_Nile error,Jewi sim,Jewi data,Jewi error,Kule sim,Kule data,Kule error,Nguenyyiel sim,Nguenyyiel data,Nguenyyiel error,Okugo sim,Okugo data,Okugo error,Pugnido sim,Pugnido data,Pugnido error,Pugnido_II sim,Pugnido_II data,Pugnido_II error,Tierkidi sim,Tierkidi data,Tierkidi error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0
1,12,116,0.896551724137931,0,2,1.0,1,346,0.9971098265895953,0,29,1.0,0,0.0,0.0,0,0,0.0,23,48,0.5208333333333333,0,0,0.0,5,16,0.6875,0,0,0.0,0,0,0.0,0,0,0.0,0,78,1.0,0,73,1.0,0,21,1.0,0,0,0.0,0,387,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0.9632616487455197,1116,1116,1116,41,0
2,41,232,0.8232758620689655,0,5,1.0,1,692,0.9985549132947977,0,58,1.0,0,0.0,0.0,1,0,0.0,54,96,0.4375,0,0,0.0,9,32,0.71875,0,0,0.0,0,0,0.0,0,0,0.0,0,157,1.0,0,147,1.0,0,43,1.0,0,0,0.0,0,775,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0.9535091640590077,2237,2237,2237,106,0
3,72,349,0.7936962750716332,0,7,1.0,3,1038,0.9971098265895953,0,87,1.0,3,0.0,0.0,10,0,0.0,82,144,0.4305555555555556,0,0,0.0,19,49,0.6122448979591837,0,0,0.0,0,0,0.0,0,0,0.0,0,236,1.0,0,147,1.0,0,43,1.0,0,0,0.0,0,778,1.0,0,3,1.0,0,0,0.0,0,17,1.0,0.9437543133195307,2898,2898,2898,189,0
4,131,465,0.7182795698924731,0,10,1.0,8,1384,0.9942196531791907,1,116,0.9913793103448276,7,0.0,0.0,30,0,0.0,125,193,0.3523316062176166,0,0,0.0,32,65,0.5076923076923077,0,0,0.0,0,0,0.0,0,0,0.0,0,315,1.0,0,147,1.0,0,44,1.0,0,0,0.0,0,781,1.0,0,7,1.0,0,0,0.0,0,34,1.0,0.926986801460264,3561,3561,3561,334,0
5,201,581,0.6540447504302926,0,12,1.0,14,1730,0.991907514450867,1,145,0.993103448275862,15,0,0.0,46,0,0.0,168,241,0.30290456431535273,0,0,0.0,45,82,0.4512195121951219,0,0,0.0,0,0,0.0,0,0,0.0,0,394,1.0,0,147,1.0,0,44,1.0,0,0,0.0,0,784,1.0,0,10,1.0,0,1,1.0,0,51,1.0,0.9128375177640928,4222,4222,4222,490,0
6,271,698,0.6117478510028653,0,15,1.0,23,2076,0.9889210019267822,2,175,0.9885714285714285,25,0,0.0,59,0,0.0,214,289,0.25951557093425603,0,0,0.0,60,98,0.3877551020408163,0,0,0.0,0,0,0.0,0,0,0.0,0,473,1.0,0,147,1.0,0,45,1.0,0,0,0.0,0,787,1.0,0,14,1.0,0,1,1.0,0,68,1.0,0.9005321326238231,4886,4886,4886,654,0
7,325,814,0.6007371007371007,0,18,1.0,30,2423,0.9876186545604623,2,204,0.9901960784313726,35,0,0.0,72,0,0.0,283,337,0.1602373887240356,0,0,0.0,73,114,0.35964912280701755,0,0,0.0,0,0,0.0,0,0,0.0,0,552,1.0,0,147,1.0,0,45,1.0,0,0,0.0,0,790,1.0,0,18,1.0,0,1,1.0,0,85,1.0,0.8907714491708724,5548,5548,5548,820,0
8,396,930,0.5741935483870968,0,20,1.0,48,2769,0.9826652221018418,4,233,0.9828326180257511,50,0,0.0,87,0,0.0,337,386,0.12694300518134716,0,0,0.0,93,131,0.29007633587786263,0,0,0.0,0,0,0.0,0,0,0.0,0,631,1.0,0,147,1.0,0,46,1.0,0,0,0.0,0,794,1.0,0,21,1.0,0,2,1.0,0,102,1.0,0.8807147456535738,6212,6212,6212,1015,0
9,458,1047,0.562559694364852,1,23,0.9565217391304348,60,3115,0.9807383627608347,9,262,0.9656488549618321,75,0,0.0,104,0,0.0,391,434,0.09907834101382484,0,0,0.0,112,147,0.23809523809523814,0,0,0.0,0,0,0.0,0,0,0.0,0,710,1.0,0,147,1.0,0,47,1.0,0,0,0.0,0,797,1.0,0,25,1.0,0,2,1.0,0,119,1.0,0.8760727272727272,6875,6875,6875,1210,0
10,540,1163,0.5356835769561479,1,25,0.96,75,3461,0.9783299624386016,11,291,0.9621993127147767,90,0,0.0,127,0,0.0,458,482,0.049792531120331995,0,0,0.0,135,164,0.17682926829268297,0,0,0.0,0,0,0.0,0,0,0.0,0,789,1.0,0,150,1.0,0,63,1.0,0,0,0.0,0,800,1.0,0,25,1.0,0,3,1.0,0,136,1.0,0.8671875,7552,7552,7552,1437,0
11,611,1280,0.52265625,1,28,0.9642857142857143,96,3807,0.9747832939322301,14,321,0.956386292834891,106,0,0.0,155,0,0.0,507,530,0.04339622641509433,0,0,0.0,154,180,0.1444444444444445,0,0,0.0,0,0,0.0,0,0,0.0,0,868,1.0,0,153,1.0,0,79,1.0,0,0,0.0,0,803,1.0,0,25,1.0,0,4,1.0,1,153,0.9934640522875817,0.8635645729558984,8231,8231,8231,1645,0
