Day,Date,Adjumani sim,Adjumani data,Adjumani error,East_Darfur sim,East_Darfur data,East_Darfur error,Haut-Uele sim,Haut-Uele data,Haut-Uele error,Ituri sim,Ituri data,Ituri error,Kakuma sim,Kakuma data,Kakuma error,Kiryandongo sim,Kiryandongo data,Kiryandongo error,Meri sim,Meri data,Meri error,North_Darfur sim,North_Darfur data,North_Darfur error,Rhino sim,Rhino data,Rhino error,South_Darfur sim,South_Darfur data,South_Darfur error,South_Kordofan sim,South_Kordofan data,South_Kordofan error,West_Kordofan sim,West_Kordofan data,West_Kordofan error,White_Nile sim,White_Nile data,White_Nile error,Jewi sim,Jewi data,Jewi error,Kule sim,Kule data,Kule error,Nguenyyiel sim,Nguenyyiel data,Nguenyyiel error,Okugo sim,Okugo data,Okugo error,Pugnido sim,Pugnido data,Pugnido error,Pugnido_two sim,Pugnido_two data,Pugnido_two error,Tierkidi sim,Tierkidi data,Tierkidi error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
0,2016-06-01,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0
1,2016-06-02,20,116.0,0.8275862068965517,0,2.0,1.0,0,346.0,1.0,0,29.0,1.0,1,0.0,0.0,0,0.0,0.0,20,48.0,0.5833333333333333,0,0.0,0.0,2,16.0,0.875,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,78.0,1.0,0,73.0,1.0,0,21.0,1.0,0,0.0,0.0,0,387.0,1.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.9632616487455196,1116,1116,1116,43,0
2,2016-06-03,59,232.0,0.7456896551724138,0,5.0,1.0,2,692.0,0.9971098265895952,0,58.0,1.0,2,0.0,0.0,4,0.0,0.0,49,96.0,0.4895833333333333,0,0.0,0.0,5,32.0,0.84375,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,157.0,1.0,0,147.0,1.0,0,43.0,1.0,0,0.0,0.0,0,775.0,1.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.9512740277156908,2237,2237,2237,121,0
3,2016-06-04,99,349.0,0.7163323782234957,0,7.0,1.0,4,1038.0,0.9961464354527938,0,87.0,1.0,6,0.0,0.0,6,0.0,0.0,80,144.0,0.4444444444444444,0,0.0,0.0,17,49.0,0.653061224489796,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,236.0,1.0,0,147.0,1.0,0,43.0,1.0,0,0.0,0.0,0,778.0,1.0,0,3.0,1.0,0,0.0,0.0,0,17.0,1.0,0.935127674258109,2898,2898,2898,212,0
4,2016-06-05,158,465.0,0.6602150537634408,0,10.0,1.0,7,1384.0,0.994942196531792,1,116.0,0.9913793103448276,10,0.0,0.0,22,0.0,0.0,114,193.0,0.4093264248704663,0,0.0,0.0,30,65.0,0.5384615384615384,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,315.0,1.0,0,147.0,1.0,0,44.0,1.0,0,0.0,0.0,0,781.0,1.0,0,7.0,1.0,0,0.0,0.0,0,34.0,1.0,0.9219320415613592,3561,3561,3561,342,0
5,2016-06-06,229,581.0,0.6058519793459552,0,12.0,1.0,12,1730.0,0.9930635838150288,4,145.0,0.9724137931034482,18,0.0,0.0,42,0.0,0.0,162,241.0,0.3278008298755186,0,0.0,0.0,46,82.0,0.4390243902439024,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,394.0,1.0,0,147.0,1.0,0,44.0,1.0,0,0.0,0.0,0,784.0,1.0,0,10.0,1.0,0,1.0,1.0,0,51.0,1.0,0.9069161534817622,4222,4222,4222,513,0
6,2016-06-07,288,698.0,0.5873925501432664,0,15.0,1.0,22,2076.0,0.9894026974951832,6,175.0,0.9657142857142856,25,0.0,0.0,59,0.0,0.0,208,289.0,0.2802768166089965,0,0.0,0.0,55,98.0,0.4387755102040817,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,473.0,1.0,0,147.0,1.0,0,45.0,1.0,0,0.0,0.0,0,787.0,1.0,0,14.0,1.0,0,1.0,1.0,0,68.0,1.0,0.8986901350798199,4886,4886,4886,663,0
7,2016-06-08,351,814.0,0.5687960687960688,0,18.0,1.0,38,2423.0,0.9843169624432522,6,204.0,0.9705882352941176,37,0.0,0.0,70,0.0,0.0,264,337.0,0.2166172106824926,0,0.0,0.0,76,114.0,0.3333333333333333,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,552.0,1.0,0,147.0,1.0,0,45.0,1.0,0,0.0,0.0,0,790.0,1.0,0,18.0,1.0,0,1.0,1.0,0,85.0,1.0,0.8868060562364816,5548,5548,5548,842,0
8,2016-06-09,424,930.0,0.5440860215053763,0,20.0,1.0,57,2769.0,0.9794149512459372,9,233.0,0.96137339055794,52,0.0,0.0,86,0.0,0.0,310,386.0,0.1968911917098446,0,0.0,0.0,92,131.0,0.2977099236641222,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,631.0,1.0,0,147.0,1.0,0,46.0,1.0,0,0.0,0.0,0,794.0,1.0,0,21.0,1.0,0,2.0,1.0,0,102.0,1.0,0.8786220218931101,6212,6212,6212,1030,0
9,2016-06-10,506,1047.0,0.5167144221585482,0,23.0,1.0,71,3115.0,0.977207062600321,13,262.0,0.950381679389313,70,0.0,0.0,99,0.0,0.0,373,434.0,0.140552995391705,0,0.0,0.0,115,147.0,0.217687074829932,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,710.0,1.0,0,147.0,1.0,0,47.0,1.0,0,0.0,0.0,0,797.0,1.0,0,25.0,1.0,0,2.0,1.0,0,119.0,1.0,0.8677818181818182,6875,6875,6875,1247,0
10,2016-06-11,588,1163.0,0.4944110060189166,0,25.0,1.0,87,3461.0,0.9748627564287778,19,291.0,0.9347079037800688,83,0.0,0.0,121,0.0,0.0,426,482.0,0.1161825726141079,0,0.0,0.0,134,164.0,0.1829268292682927,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,789.0,1.0,0,150.0,1.0,0,63.0,1.0,0,0.0,0.0,0,800.0,1.0,0,25.0,1.0,0,3.0,1.0,0,136.0,1.0,0.8609639830508474,7552,7552,7552,1458,0
11,2016-06-12,697,1280.0,0.45546875,0,28.0,1.0,102,3807.0,0.9732072498029944,24,321.0,0.9252336448598132,98,0.0,0.0,144,0.0,0.0,504,530.0,0.0490566037735848,0,0.0,0.0,160,180.0,0.1111111111111111,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,868.0,1.0,0,153.0,1.0,1,79.0,0.9873417721518988,2,0.0,0.0,0,803.0,1.0,0,25.0,1.0,0,4.0,1.0,0,153.0,1.0,0.8488640505406391,8231,8231,8231,1732,0
